github_id,target_role,total_repos,top_languages,topics
axiftaj,"Mobile App (Lv2. 강한 의심 / 26점)
 🕵️ 부캐 스캔: Web Backend (Lv1. 의심 / 12점)",62,"{'Dart': 26, 'Java': 12, 'C++': 6}",[]
NitinSemwal2605,"Web Frontend (Lv2. 강한 의심 / 44점)
 🕵️ 부캐 스캔: Web Backend (Lv1. 의심 / 6점)",39,"{'JavaScript': 19, 'C++': 6, 'TypeScript': 5}","['github-config', 'javascript', 'open-source', 'html-css-javascript', 'sde-sheet', 'newsapi', 'hacktoberfest-accepted', 'cryptocurrency', 'mern-stack', 'gemini-api']"
rahman-O,X (추론 안됨),17,"{'Shell': 1, 'PHP': 1, 'Java': 1}",[]
saidee-hasan,"Web Frontend (Lv3. 확신 / 261점)
 🕵️ 부캐 스캔: Web Backend (Lv2. 강한 의심 / 19점)",100,"{'JavaScript': 51, 'TypeScript': 18, 'HTML': 15}","['design', 'javascript', 'regx', 'section', 'bank', 'google-login', 'form-handling', 'nodemon', 'bg-remove', 'crud-application']"
huojichuanqi,X (추론 안됨),14,{'Python': 7},[]
octokatherine,Web Frontend (Lv2. 강한 의심 / 21점),25,"{'JavaScript': 6, 'TypeScript': 2, 'Ruby': 2}","['nextjs', 'personal-website', 'tailwindcss', 'markdown', 'game', 'react']"
satnaing,"Web Frontend (Lv3. 확신 / 84점)
 🕵️ 부캐 스캔: Web Backend (Lv1. 의심 / 11점)",31,"{'TypeScript': 13, 'JavaScript': 7, 'HTML': 4}","['tanstack-query', 'ssg', 'static-site-generator', 'pwa', 'shadcn-ui', 'learn', 'astro-theme', 'astro-themes', 'github', 'markdown']"
CBID2,Web Frontend (Lv2. 강한 의심 / 37점),100,"{'JavaScript': 12, 'TypeScript': 12, 'HTML': 9}","['config', 'github-config']"
ayezabashir,"Web Frontend (Lv3. 확신 / 221점)
 🕵️ 부캐 스캔: Web Backend (Lv2. 강한 의심 / 49.0점)",72,"{'JavaScript': 41, 'HTML': 12, 'CSS': 6}","['bootstrap', 'javascript', 'asynchronous', 'dictionary', 'frontend-practice', 'tailwindcss', 'dom-manipulation', 'codemirror', 'frontend-practices', 'css3']"
by-huy,Web Frontend (Lv2. 강한 의심 / 47점),50,"{'JavaScript': 31, 'HTML': 11, 'CSS': 2}","['webdesign', 'uiux-design', 'frontend']"
vahidefarzane,Web Frontend (Lv1. 의심 / 8점),11,"{'JavaScript': 7, 'Vue': 1, 'SCSS': 1}",[]
RAHAMSHAIK007,Web Frontend (Lv2. 강한 의심 / 24점),100,"{'HCL': 21, 'HTML': 18, 'JavaScript': 4}",[]
akasakaid,"Web Backend (Lv2. 강한 의심 / 27.0점)
 🕵️ 부캐 스캔: ML/AI Engineer (Lv2. 강한 의심 / 25.0점)",90,"{'Python': 50, 'PHP': 3, 'Java': 2}","['megaeth', 'telegram-mini-game', 'python-bot', 'kawooawawawa', 'time-farm', 'auto-claim', 'honkai-star-rail', 'nekopoi', 'belajar-python', 'riselabs']"
